preds,labels
0.9857708,1
0.9892371,1
0.98327833,1
0.992489,1
0.98002326,1
0.4999519,1
0.9938717,1
0.96949995,1
0.97222173,1
0.98985225,1
0.9963736,1
0.89696264,1
0.9887307,1
0.9939551,1
0.98588365,1
0.9265236,1
0.9855597,1
0.6448395,0
0.9753308,1
0.9882559,0
0.70944476,0
0.9270552,1
0.98613805,1
0.99179405,1
0.45632,1
0.9947254,1
0.97615814,1
0.52557904,1
0.98909503,1
0.98826224,1
0.9524064,1
0.94331706,0
0.9433674,1
0.97480994,1
0.91088045,1
0.6596312,1
0.9090474,1
0.9716384,1
0.49731538,0
0.7834779,0
0.99457127,1
0.8726774,1
0.9425439,1
0.96087116,1
0.9087951,1
0.08875241,0
0.9232541,1
0.9295266,1
0.971913,1
0.24103382,0
0.9774295,1
0.9490637,0
0.84158677,1
0.96974283,1
0.9296375,1
0.9964573,0
0.42474455,1
0.57708,0
0.9946498,1
0.9618132,0
0.9894544,1
0.6301742,0
0.9344138,1
0.98710865,1
0.9808699,1
0.9916831,1
0.19344018,1
0.95304555,1
0.95712334,1
