preds,labels
0.43000767,0
0.41949883,0
0.42179602,0
0.4074616,0
0.40794873,0
0.41229978,0
0.4552313,0
0.43614468,0
0.47588402,0
0.5308337,0
0.47817415,0
0.48331383,0
0.47040975,0
0.50401974,0
0.5913104,0
0.5269491,0
0.43994936,0
0.47024298,0
0.44047612,0
0.41935453,0
0.42224452,0
0.4405452,0
0.4759404,0
0.4627886,0
0.44071788,0
0.46471226,0
0.44319957,0
0.44036934,0
0.4469763,0
0.44148335,0
0.46678597,0
0.5052272,0
0.43159792,0
0.41604608,0
0.41726324,0
0.498353,0
0.36665943,0
0.49818322,0
0.50190735,0
0.46426663,0
0.4347168,0
0.42273277,0
0.4403095,0
0.42510933,0
0.4217699,0
0.40869096,0
0.47073463,0
0.3923984,0
0.4346597,0
0.3996379,0
0.34407535,0
0.45082206,0
0.47254565,0
0.45096117,0
0.45611623,0
0.47346464,0
0.4708349,0
0.47525287,0
0.43961674,0
0.58705074,0
0.40570936,0
0.37849817,0
0.44375375,0
0.45978254,0
0.41663843,0
0.46620345,0
0.45869687,1
0.45563373,1
0.49148452,1
0.49620575,1
0.58838487,1
0.53890085,1
0.45864576,1
0.47489944,1
0.5099807,1
0.47299784,1
0.43442902,1
0.47565567,1
0.40954137,1
0.50577813,1
0.4867121,1
0.5281678,1
0.46376488,1
0.46942344,1
0.45838985,1
0.44705755,1
0.5081889,1
0.4866929,1
0.5251771,1
0.44304407,1
0.43082464,1
0.47805333,1
0.49916083,1
0.4849599,1
0.43248367,1
0.40416119,1
0.42979717,1
0.4217689,1
0.4556356,1
0.48131907,1
0.45133275,1
0.46938547,1
0.5169367,1
0.5326848,1
0.5373977,1
0.49582538,1
0.480739,1
0.4339306,1
0.44996265,1
0.5048247,1
0.53893864,1
0.49968266,1
0.51523495,1
0.47767982,1
0.37356701,1
0.51967824,1
0.5555691,1
0.47588742,1
0.49286854,1
0.3918506,1
0.4823973,1
0.55754465,1
0.4846397,1
0.49748465,1
0.4648785,1
0.47498536,1
0.52831817,1
0.4570184,1
0.5923773,1
0.52078354,1
0.48895335,1
0.44602427,0
0.45347676,0
0.49430317,0
0.45094103,0
0.4644058,0
0.44452032,0
0.31598467,0
0.46750617,0
0.48812857,0
0.5014892,0
0.4457586,0
0.48096108,0
0.4692429,0
0.45572984,0
0.54236233,0
0.57710636,0
0.5084388,0
0.40832365,0
0.41226032,0
0.47770151,1
0.44753173,1
0.45060518,1
0.49039194,1
0.48449525,1
0.6087468,1
0.45662862,1
0.5110183,1
0.46341577,1
0.5969105,1
0.52675474,1
0.5206692,0
0.48670754,0
0.49906373,0
0.43900254,0
0.53370345,0
0.49666148,0
0.4905088,0
0.4585369,0
0.46061876,0
0.46961287,0
0.48855984,0
0.47555766,0
0.42207336,0
0.4607802,0
0.4597625,0
0.43157235,0
0.4782362,0
0.56359947,0
0.41401994,0
0.47274742,0
0.4382247,0
0.45239112,0
0.49868804,0
0.42904937,0
0.5319758,0
0.42433602,0
0.52044857,0
0.5683552,1
0.53012395,1
0.47887403,1
0.51701427,1
0.49605763,1
0.50710803,1
0.52327234,1
0.44819492,1
