preds,labels
0.4045727,0
0.42222998,0
0.36488447,0
0.28542304,0
0.41711897,0
0.3187945,0
0.43523398,0
0.39952186,0
0.3879473,0
0.3554147,0
0.5476283,0
0.51829755,0
0.57537377,0
0.5888874,0
0.48728934,0
0.48562452,0
0.4235108,0
0.49508476,0
0.44900626,0
0.3101304,0
0.24147695,0
0.38057366,0
0.41021055,0
0.32230708,0
0.38543597,0
0.41958874,0
0.28536367,0
0.3414606,0
0.34504816,0
0.3485462,0
0.4751638,0
0.52211237,0
0.27451208,0
0.30931318,0
0.5083299,0
0.43927905,0
0.4774007,0
0.5039304,0
0.52438504,0
0.44253552,0
0.47770563,0
0.37633917,0
0.3692656,0
0.24961783,0
0.2804888,0
0.28857377,0
0.28965774,0
0.31506178,0
0.3578887,0
0.28889987,0
0.23088661,0
0.5066634,0
0.39065617,0
0.26976055,0
0.4731277,0
0.4534482,0
0.5029003,0
0.3852169,0
0.39705405,0
0.3166599,0
0.28903008,0
0.24727277,0
0.4750885,0
0.45876804,0
0.39948508,0
0.38192943,0
0.36175898,1
0.43526706,1
0.33004808,1
0.5639169,1
0.5490524,1
0.54415333,1
0.4819779,1
0.44891462,1
0.5298667,1
0.7166142,1
0.40936983,1
0.4143345,1
0.49976394,1
0.53465146,1
0.5103037,1
0.63431776,1
0.38696602,1
0.5378337,1
0.47697794,1
0.4276377,1
0.52687794,1
0.4481571,1
0.40521896,1
0.5677964,1
0.37219378,1
0.5741749,1
0.43304434,1
0.47830644,1
0.30713803,1
0.3347757,1
0.43336523,1
0.41481465,1
0.3896972,1
0.43667427,1
0.4356645,1
0.55398095,1
0.5976645,1
0.49724966,1
0.5693581,1
0.52233976,1
0.50495267,1
0.48323727,1
0.4963003,1
0.43547958,1
0.5910982,1
0.43405095,1
0.5041701,1
0.51093805,1
0.5122486,1
0.54643774,1
0.5338385,1
0.55718136,1
0.55709946,1
0.4181482,1
0.48448756,1
0.53179556,1
0.375427,1
0.36336237,1
0.3744997,1
0.3225392,1
0.44882473,1
0.46225148,1
0.5043237,1
0.63688564,1
0.53261715,1
0.5269737,0
0.46184877,0
0.44818002,0
0.3058352,0
0.33203715,0
0.2660578,0
0.38526005,0
0.29865798,0
0.6039675,0
0.43707156,0
0.44554338,0
0.45075935,0
0.6959731,0
0.5342935,0
0.48366114,0
0.4298443,0
0.37095836,0
0.533665,0
0.5132286,0
0.6094347,1
0.5144345,1
0.62837356,1
0.41806895,1
0.5709784,1
0.65325254,1
0.40586433,1
0.6273562,1
0.72377557,1
0.554314,1
0.567579,1
0.39354858,0
0.36103734,0
0.35485315,0
0.55375385,0
0.47942612,0
0.34022415,0
0.31573507,0
0.40006056,0
0.3997403,0
0.40010878,0
0.44005233,0
0.42908537,0
0.29923078,0
0.27073628,0
0.27942201,0
0.3623618,0
0.326438,0
0.47035834,0
0.41717273,0
0.39525208,0
0.39613584,0
0.37537464,0
0.5108525,0
0.44178164,0
0.45635536,0
0.41331664,0
0.45748606,0
0.612167,1
0.531534,1
0.43720523,1
0.4309128,1
0.3591407,1
0.46707037,1
0.44397348,1
0.48355347,1
