preds,labels
0.36499316,0
0.44140238,0
0.026362903,0
0.026392683,0
0.016166382,0
0.21244815,0
0.28077438,0
0.24975233,0
0.37268308,0
0.6418363,0
0.7844659,0
0.574696,0
0.7172044,0
0.62350166,0
0.03844634,0
0.05129283,0
0.6479804,0
0.1917506,0
0.2664825,0
0.15260035,0
0.16629355,0
0.44017744,0
0.4006439,0
0.5701637,0
0.4883946,0
0.6079752,0
0.6977986,0
0.4440239,0
0.4741172,0
0.22355402,0
0.35465896,0
0.21151285,0
0.5161754,0
0.49436796,0
0.40368798,0
0.26324034,0
0.63849425,0
0.72823054,0
0.40601376,0
0.56527734,0
0.21952769,0
0.13588732,0
0.1018474,0
0.05661248,0
0.057059214,0
0.21950948,0
0.09968473,0
0.01454455,0
0.041467447,0
0.049836095,0
0.029500643,0
0.37127325,0
0.44483078,0
0.4009062,0
0.48152632,0
0.2543054,0
0.3327802,0
0.2769489,0
0.13977566,0
0.10994044,0
0.18641354,0
0.32304984,0
0.6747095,0
0.3763818,0
0.37350625,0
0.18820167,0
0.21874289,0
0.45891917,0
0.6126305,0
0.067920454,0
0.60003906,0
0.5561102,0
0.47354534,0
0.6164739,0
0.66910005,1
0.5316207,1
0.53785384,1
0.6080045,1
0.748206,1
0.7079877,1
0.7161121,1
0.6654431,1
0.75793463,1
0.71063685,1
0.7908533,1
0.52545303,1
0.78085333,1
0.7546515,1
0.8524392,1
0.7324334,1
0.70791626,1
0.4799356,1
0.73897827,1
0.6106621,1
0.72153115,1
0.7308141,1
0.6957618,1
0.7500782,1
0.5674205,1
0.6659781,1
0.6139082,1
0.72006565,1
0.37762934,1
0.44578466,1
0.57371354,1
0.50308573,1
0.57941437,1
0.68520176,1
0.4012345,1
0.5334053,1
0.2862026,1
0.63306415,1
0.69279975,1
0.22979829,1
0.66529596,1
0.7043078,1
0.76154697,1
0.6032615,1
0.71666336,1
0.7440754,1
0.67951876,1
0.711345,1
0.74195534,1
0.5102127,1
0.69826496,1
0.61162037,1
0.7563615,1
0.84203047,1
0.630218,1
0.6998531,1
0.7944856,1
0.6922636,1
0.54757154,1
0.6074638,1
0.8128821,1
0.7260165,1
0.5428277,1
0.6043707,1
0.67903924,1
0.7336069,1
0.71746695,1
0.5388826,1
0.7297118,1
0.7190128,1
0.6811118,1
0.23591138,0
0.24674638,0
0.5701549,0
0.41177824,0
0.31407055,0
0.42090225,0
0.21779825,0
0.6585898,0
0.68495655,0
0.08800754,0
0.05702006,0
0.54291934,0
0.58252585,0
0.58659554,0
0.52376527,0
0.60145265,1
0.44160908,1
0.6431118,1
0.5370425,1
0.5043491,1
0.5886096,1
0.47512046,1
0.7800979,1
0.44445294,1
0.59179735,1
0.6728541,1
0.5982757,1
0.49565327,0
0.36497912,0
0.5061399,0
0.29116175,0
0.78245854,0
0.782618,0
0.07685696,0
0.071096085,0
0.04089005,0
0.31919903,0
0.37352267,0
0.45110682,0
0.35809803,0
0.18016237,0
0.12776981,0
0.38720387,0
0.24117342,0
0.39845115,0
0.454427,0
0.45215032,0
0.39128458,0
0.2511599,0
0.2550484,0
0.35149133,0
0.65812486,0
0.62974274,0
0.07044364,0
0.6496431,1
0.7794858,1
0.68721163,1
0.77937394,1
